Temperature - (Celsius), Year, Statistics, Country, ISO3
5.61839, 1910, Dec Average, France, FRA
0.85459, 1911, Jan Average, France, FRA
4.01663, 1911, Feb Average, France, FRA
6.21254, 1911, Mar Average, France, FRA
8.20696, 1911, Apr Average, France, FRA
13.4108, 1911, May Average, France, FRA
15.8805, 1911, Jun Average, France, FRA
20.7767, 1911, Jul Average, France, FRA
21.0473, 1911, Aug Average, France, FRA
17.3359, 1911, Sep Average, France, FRA
11.4144, 1911, Oct Average, France, FRA
7.11373, 1911, Nov Average, France, FRA
6.03701, 1911, Dec Average, France, FRA
4.06547, 1912, Jan Average, France, FRA
6.45127, 1912, Feb Average, France, FRA
8.35894, 1912, Mar Average, France, FRA
8.93807, 1912, Apr Average, France, FRA
13.6248, 1912, May Average, France, FRA
15.6843, 1912, Jun Average, France, FRA
17.9051, 1912, Jul Average, France, FRA
15.2593, 1912, Aug Average, France, FRA
12.3484, 1912, Sep Average, France, FRA
9.73998, 1912, Oct Average, France, FRA
4.88519, 1912, Nov Average, France, FRA
4.92978, 1912, Dec Average, France, FRA
4.79035, 1913, Jan Average, France, FRA
4.10142, 1913, Feb Average, France, FRA
7.73835, 1913, Mar Average, France, FRA
8.97501, 1913, Apr Average, France, FRA
12.8631, 1913, May Average, France, FRA
15.8529, 1913, Jun Average, France, FRA
16.2635, 1913, Jul Average, France, FRA
17.3515, 1913, Aug Average, France, FRA
15.074, 1913, Sep Average, France, FRA
12.0951, 1913, Oct Average, France, FRA
8.96966, 1913, Nov Average, France, FRA
3.56604, 1913, Dec Average, France, FRA
-0.0571, 1914, Jan Average, France, FRA
5.94576, 1914, Feb Average, France, FRA
7.23898, 1914, Mar Average, France, FRA
11.1287, 1914, Apr Average, France, FRA
11.8707, 1914, May Average, France, FRA
15.0577, 1914, Jun Average, France, FRA
17.3125, 1914, Jul Average, France, FRA
18.131, 1914, Aug Average, France, FRA
15.0553, 1914, Sep Average, France, FRA
10.3968, 1914, Oct Average, France, FRA
5.82354, 1914, Nov Average, France, FRA
5.41615, 1914, Dec Average, France, FRA
3.18624, 1915, Jan Average, France, FRA
3.84982, 1915, Feb Average, France, FRA
5.34095, 1915, Mar Average, France, FRA
8.28789, 1915, Apr Average, France, FRA
14.2955, 1915, May Average, France, FRA
17.3119, 1915, Jun Average, France, FRA
17.3373, 1915, Jul Average, France, FRA
17.2711, 1915, Aug Average, France, FRA
14.3353, 1915, Sep Average, France, FRA
9.20197, 1915, Oct Average, France, FRA
4.15977, 1915, Nov Average, France, FRA
6.75924, 1915, Dec Average, France, FRA
5.8516, 1916, Jan Average, France, FRA
4.4476, 1916, Feb Average, France, FRA
5.78879, 1916, Mar Average, France, FRA
9.38959, 1916, Apr Average, France, FRA
13.6868, 1916, May Average, France, FRA
13.8934, 1916, Jun Average, France, FRA
17.3014, 1916, Jul Average, France, FRA
18.1498, 1916, Aug Average, France, FRA
14.0999, 1916, Sep Average, France, FRA
11.1638, 1916, Oct Average, France, FRA
6.6701, 1916, Nov Average, France, FRA
4.03581, 1916, Dec Average, France, FRA
0.77647, 1917, Jan Average, France, FRA
0.80219, 1917, Feb Average, France, FRA
4.02994, 1917, Mar Average, France, FRA
6.45257, 1917, Apr Average, France, FRA
15.137, 1917, May Average, France, FRA
17.8295, 1917, Jun Average, France, FRA
18.2188, 1917, Jul Average, France, FRA
17.1291, 1917, Aug Average, France, FRA
16.4579, 1917, Sep Average, France, FRA
9.25029, 1917, Oct Average, France, FRA
6.77442, 1917, Nov Average, France, FRA
0.48371, 1917, Dec Average, France, FRA
3.19499, 1918, Jan Average, France, FRA
4.71841, 1918, Feb Average, France, FRA
6.10948, 1918, Mar Average, France, FRA
8.4346, 1918, Apr Average, France, FRA
14.186, 1918, May Average, France, FRA
14.7203, 1918, Jun Average, France, FRA
17.9992, 1918, Jul Average, France, FRA
18.0384, 1918, Aug Average, France, FRA
15.343, 1918, Sep Average, France, FRA
9.4646, 1918, Oct Average, France, FRA
5.98705, 1918, Nov Average, France, FRA
6.24992, 1918, Dec Average, France, FRA
3.04176, 1919, Jan Average, France, FRA
3.25413, 1919, Feb Average, France, FRA
5.92995, 1919, Mar Average, France, FRA
7.3717, 1919, Apr Average, France, FRA
13.5303, 1919, May Average, France, FRA
16.4556, 1919, Jun Average, France, FRA
15.6985, 1919, Jul Average, France, FRA
19.0803, 1919, Aug Average, France, FRA
16.3896, 1919, Sep Average, France, FRA
8.10552, 1919, Oct Average, France, FRA
4.11592, 1919, Nov Average, France, FRA
4.82435, 1919, Dec Average, France, FRA
4.97898, 1920, Jan Average, France, FRA
5.91343, 1920, Feb Average, France, FRA
8.00474, 1920, Mar Average, France, FRA
9.79366, 1920, Apr Average, France, FRA
14.7209, 1920, May Average, France, FRA
16.0687, 1920, Jun Average, France, FRA
17.5972, 1920, Jul Average, France, FRA
16.3969, 1920, Aug Average, France, FRA
15.0788, 1920, Sep Average, France, FRA
11.0973, 1920, Oct Average, France, FRA
5.19592, 1920, Nov Average, France, FRA
3.42809, 1920, Dec Average, France, FRA
6.08248, 1921, Jan Average, France, FRA
3.92032, 1921, Feb Average, France, FRA
7.06984, 1921, Mar Average, France, FRA
8.78922, 1921, Apr Average, France, FRA
13.7546, 1921, May Average, France, FRA
16.9261, 1921, Jun Average, France, FRA
20.7151, 1921, Jul Average, France, FRA
18.1725, 1921, Aug Average, France, FRA
16.877, 1921, Sep Average, France, FRA
14.1098, 1921, Oct Average, France, FRA
4.12717, 1921, Nov Average, France, FRA
3.92298, 1921, Dec Average, France, FRA
2.81722, 1922, Jan Average, France, FRA
4.12695, 1922, Feb Average, France, FRA
6.53186, 1922, Mar Average, France, FRA
7.83452, 1922, Apr Average, France, FRA
14.9248, 1922, May Average, France, FRA
16.4745, 1922, Jun Average, France, FRA
16.7105, 1922, Jul Average, France, FRA
17.1858, 1922, Aug Average, France, FRA
13.4201, 1922, Sep Average, France, FRA
9.06309, 1922, Oct Average, France, FRA
5.00639, 1922, Nov Average, France, FRA
4.08128, 1922, Dec Average, France, FRA
3.26728, 1923, Jan Average, France, FRA
5.97837, 1923, Feb Average, France, FRA
7.40718, 1923, Mar Average, France, FRA
9.33641, 1923, Apr Average, France, FRA
12.3175, 1923, May Average, France, FRA
13.5921, 1923, Jun Average, France, FRA
20.2251, 1923, Jul Average, France, FRA
18.9166, 1923, Aug Average, France, FRA
15.0642, 1923, Sep Average, France, FRA
12.56, 1923, Oct Average, France, FRA
5.28592, 1923, Nov Average, France, FRA
3.38122, 1923, Dec Average, France, FRA
3.12158, 1924, Jan Average, France, FRA
1.84699, 1924, Feb Average, France, FRA
6.16971, 1924, Mar Average, France, FRA
9.19999, 1924, Apr Average, France, FRA
14.3014, 1924, May Average, France, FRA
16.1324, 1924, Jun Average, France, FRA
18.2188, 1924, Jul Average, France, FRA
15.6835, 1924, Aug Average, France, FRA
15.3478, 1924, Sep Average, France, FRA
11.5869, 1924, Oct Average, France, FRA
6.83529, 1924, Nov Average, France, FRA
4.06535, 1924, Dec Average, France, FRA
4.49643, 1925, Jan Average, France, FRA
5.41844, 1925, Feb Average, France, FRA
3.8966, 1925, Mar Average, France, FRA
9.08605, 1925, Apr Average, France, FRA
12.9226, 1925, May Average, France, FRA
16.941, 1925, Jun Average, France, FRA
17.9864, 1925, Jul Average, France, FRA
17.6927, 1925, Aug Average, France, FRA
13.3643, 1925, Sep Average, France, FRA
11.5743, 1925, Oct Average, France, FRA
4.5741, 1925, Nov Average, France, FRA
3.51963, 1925, Dec Average, France, FRA
3.58189, 1926, Jan Average, France, FRA
7.93071, 1926, Feb Average, France, FRA
7.09341, 1926, Mar Average, France, FRA
10.397, 1926, Apr Average, France, FRA
11.4054, 1926, May Average, France, FRA
14.46, 1926, Jun Average, France, FRA
18.1131, 1926, Jul Average, France, FRA
18.522, 1926, Aug Average, France, FRA
17.4232, 1926, Sep Average, France, FRA
11.6774, 1926, Oct Average, France, FRA
8.1935, 1926, Nov Average, France, FRA
2.09356, 1926, Dec Average, France, FRA
3.9645, 1927, Jan Average, France, FRA
4.05972, 1927, Feb Average, France, FRA
7.54798, 1927, Mar Average, France, FRA
9.84333, 1927, Apr Average, France, FRA
13.6779, 1927, May Average, France, FRA
15.7979, 1927, Jun Average, France, FRA
18.0233, 1927, Jul Average, France, FRA
17.6199, 1927, Aug Average, France, FRA
15.1944, 1927, Sep Average, France, FRA
11.2361, 1927, Oct Average, France, FRA
6.44834, 1927, Nov Average, France, FRA
2.65561, 1927, Dec Average, France, FRA
4.5973, 1928, Jan Average, France, FRA
5.95223, 1928, Feb Average, France, FRA
6.97679, 1928, Mar Average, France, FRA
9.27789, 1928, Apr Average, France, FRA
11.4519, 1928, May Average, France, FRA
16.0907, 1928, Jun Average, France, FRA
20.6173, 1928, Jul Average, France, FRA
19.2621, 1928, Aug Average, France, FRA
15.652, 1928, Sep Average, France, FRA
11.3377, 1928, Oct Average, France, FRA
7.86358, 1928, Nov Average, France, FRA
3.25907, 1928, Dec Average, France, FRA
-0.1651, 1929, Jan Average, France, FRA
-0.5791, 1929, Feb Average, France, FRA
6.30484, 1929, Mar Average, France, FRA
7.62063, 1929, Apr Average, France, FRA
13.1976, 1929, May Average, France, FRA
16.4023, 1929, Jun Average, France, FRA
19.1411, 1929, Jul Average, France, FRA
18.03, 1929, Aug Average, France, FRA
18.2229, 1929, Sep Average, France, FRA
11.536, 1929, Oct Average, France, FRA
7.07798, 1929, Nov Average, France, FRA
6.10002, 1929, Dec Average, France, FRA
5.48726, 1930, Jan Average, France, FRA
3.06499, 1930, Feb Average, France, FRA
6.92931, 1930, Mar Average, France, FRA
9.68559, 1930, Apr Average, France, FRA
12.0292, 1930, May Average, France, FRA
17.9059, 1930, Jun Average, France, FRA
17.2268, 1930, Jul Average, France, FRA
18.023, 1930, Aug Average, France, FRA
15.9197, 1930, Sep Average, France, FRA
11.8689, 1930, Oct Average, France, FRA
8.50297, 1930, Nov Average, France, FRA
4.08869, 1930, Dec Average, France, FRA
